,model,plddt,percentile,plddt_norm,percentile_norm
0,Elo_0,0.9510428,0.675,0.9510427713394165,0.675
1,Elo_1,0.95113564,0.68,0.9511356353759766,0.68
2,Elo_2,0.9504489,0.645,0.9504488706588745,0.645
3,Elo_3,0.9542286,0.775,0.9542285799980164,0.775
4,Elo_4,0.94666255,0.44,0.9466625452041626,0.44
5,lewis_0,0.957891,0.91,0.9578909873962402,0.91
6,lewis_1,0.95761615,0.905,0.9576161503791809,0.905
7,lewis_2,0.9574359,0.895,0.9574359059333801,0.895
8,lewis_3,0.9571634,0.885,0.957163393497467,0.885
9,lewis_4,0.957271,0.89,0.9572709798812866,0.89
10,default_af_0,0.97329754,0.985,0.9732975363731384,0.985
11,default_af_1,0.9731531,0.98,0.9731531143188477,0.98
12,default_af_2,0.9729507,0.97,0.9729506969451904,0.97
13,default_af_3,0.97237,0.96,0.9723700284957886,0.96
14,default_af_4,0.9740989,0.995,0.9740989208221436,0.995
15,default_af_5,0.9739295,0.99,0.9739295244216919,0.99
16,default_af_6,0.97314143,0.975,0.9731414318084717,0.975
17,default_af_7,0.9727535,0.965,0.9727535247802734,0.965
18,default_af_8,0.9647286,0.93,0.964728593826294,0.93
19,default_af_9,0.9649989,0.935,0.9649989008903503,0.935
20,default_comp_0,0.9521575,0.715,0.9521574974060059,0.715
21,default_comp_1,0.9438405,0.32,0.943840503692627,0.32
22,default_comp_2,0.94933677,0.565,0.9493367671966553,0.565
23,default_comp_3,0.9481965,0.48,0.9481964707374573,0.48
24,default_comp_4,0.94922686,0.56,0.9492268562316895,0.56
25,default_comp_5,0.9422965,0.255,0.9422965049743652,0.255
26,default_comp_6,0.9419095,0.235,0.9419094920158386,0.235
27,default_comp_7,0.9410458,0.215,0.9410458207130432,0.215
28,default_comp_8,0.9424734,0.265,0.9424734115600586,0.265
29,default_comp_9,0.9347126,0.13,0.9347125887870789,0.13
30,default_multimer_0,0.9562216,0.835,0.9562215805053711,0.835
31,default_multimer_1,0.9555474,0.82,0.9555473923683167,0.82
32,default_multimer_2,0.9490051,0.545,0.949005126953125,0.545
33,default_multimer_3,0.9537013,0.76,0.9537013173103333,0.76
34,default_multimer_4,0.9486174,0.505,0.9486173987388611,0.505
35,default_multimer_5,0.9532838,0.74,0.9532837867736816,0.74
36,default_multimer_6,0.94870156,0.515,0.9487015604972839,0.515
37,default_multimer_7,0.948541,0.5,0.948540985584259,0.5
38,default_multimer_8,0.94977534,0.605,0.9497753381729126,0.605
39,default_multimer_9,0.94907665,0.55,0.9490766525268555,0.55
40,default_pdb_0,0.9528167,0.725,0.9528167247772217,0.725
41,default_pdb_1,0.95128745,0.695,0.9512874484062195,0.695
42,default_pdb_2,0.94940937,0.575,0.9494093656539917,0.575
43,default_pdb_3,0.9484326,0.49,0.9484326243400574,0.49
44,default_pdb_4,0.949433,0.58,0.9494330286979675,0.58
45,default_pdb_5,0.9406075,0.205,0.940607488155365,0.205
46,default_pdb_6,0.9431262,0.29,0.9431262016296387,0.29
47,default_pdb_7,0.9414104,0.225,0.9414104223251343,0.225
48,default_pdb_8,0.94127715,0.22,0.9412771463394165,0.22
49,default_pdb_9,0.93687135,0.17,0.936871349811554,0.17
50,default_pdb70_0,0.9547454,0.805,0.9547454118728638,0.805
51,default_pdb70_1,0.9514057,0.7,0.9514057040214539,0.7
52,default_pdb70_2,0.9545304,0.79,0.9545304179191589,0.79
53,default_pdb70_3,0.94948125,0.585,0.9494812488555908,0.585
54,default_pdb70_4,0.94918257,0.555,0.9491825699806213,0.555
55,default_pdb70_5,0.948633,0.51,0.9486330151557922,0.51
56,default_pdb70_6,0.9508308,0.665,0.9508308172225952,0.665
57,default_pdb70_7,0.9488524,0.53,0.9488524198532104,0.53
58,default_pdb70_8,0.9438412,0.325,0.9438412189483643,0.325
59,default_pdb70_9,0.94352686,0.305,0.9435268640518188,0.305
60,default_struct_0,0.95675904,0.865,0.9567590355873108,0.865
61,default_struct_1,0.95445263,0.785,0.954452633857727,0.785
62,default_struct_2,0.9552456,0.815,0.9552456140518188,0.815
63,default_struct_3,0.9543031,0.78,0.9543030858039856,0.78
64,default_struct_4,0.95644015,0.855,0.9564401507377625,0.855
65,default_struct_5,0.948718,0.52,0.9487180113792419,0.52
66,default_struct_6,0.9496655,0.595,0.9496654868125916,0.595
67,default_struct_7,0.95117027,0.69,0.9511702656745911,0.69
68,default_struct_8,0.95352423,0.75,0.9535242319107056,0.75
69,default_struct_9,0.95370924,0.765,0.9537092447280884,0.765
70,default_uniref30_0,0.95752555,0.9,0.9575255513191223,0.9
71,default_uniref30_1,0.95708245,0.88,0.9570824503898621,0.88
72,default_uniref30_2,0.9569167,0.87,0.9569166898727417,0.87
73,default_uniref30_3,0.95365155,0.755,0.9536515474319458,0.755
74,default_uniref30_4,0.94805557,0.475,0.9480555653572083,0.475
75,default_uniref30_5,0.9530674,0.73,0.953067421913147,0.73
76,default_uniref30_6,0.94995,0.625,0.9499499797821045,0.625
77,default_uniref30_7,0.94871956,0.525,0.9487195611000061,0.525
78,default_uniref30_8,0.9497179,0.6,0.9497178792953491,0.6
79,default_uniref30_9,0.9489987,0.54,0.9489986896514893,0.54
80,iter_1_0,0.9435386,0.31,0.9435386061668396,0.31
81,iter_1_1,0.94312847,0.295,0.9431284666061401,0.295
