,model,plddt,percentile,plddt_norm,percentile_norm
0,default_pdb70_0,0.822021,0.901840490797546,0.8220210075378418,0.901840490797546
1,default_pdb70_1,0.7125051,0.22085889570552147,0.7125051021575928,0.22085889570552147
2,default_pdb70_2,0.67651343,0.147239263803681,0.6765134334564209,0.147239263803681
3,default_pdb70_3,0.68994373,0.17791411042944785,0.6899437308311462,0.17791411042944785
4,default_pdb70_4,0.69041044,0.18404907975460122,0.6904104351997375,0.18404907975460122
5,default_pdb70_5,0.65568674,0.07975460122699386,0.6556867361068726,0.07975460122699386
6,default_pdb70_6,0.6530638,0.0736196319018405,0.6530637741088867,0.0736196319018405
7,default_pdb70_7,0.6515042,0.06134969325153374,0.6515042185783386,0.06134969325153374
8,default_pdb70_8,0.6862853,0.1656441717791411,0.6862853169441223,0.1656441717791411
9,default_pdb70_9,0.6343179,0.04294478527607362,0.6343178749084473,0.04294478527607362
10,default_struct_0,0.8154491,0.8711656441717791,0.8154491186141968,0.8711656441717791
11,default_struct_1,0.78418994,0.7791411042944786,0.7841899394989014,0.7791411042944786
12,default_struct_2,0.81509185,0.8650306748466258,0.8150918483734131,0.8650306748466258
13,default_struct_3,0.78573424,0.7914110429447853,0.785734236240387,0.7914110429447853
14,default_struct_4,0.79799926,0.8466257668711656,0.7979992628097534,0.8466257668711656
15,default_struct_5,0.7707562,0.6503067484662577,0.770756185054779,0.6503067484662577
16,default_struct_6,0.743138,0.43558282208588955,0.7431380152702332,0.43558282208588955
17,default_struct_7,0.7476338,0.4662576687116564,0.7476338148117065,0.4662576687116564
18,default_struct_8,0.7253474,0.32515337423312884,0.7253473997116089,0.32515337423312884
19,default_struct_9,0.7232322,0.3006134969325153,0.7232322096824646,0.3006134969325153
20,default_uniclust30_0,0.70490855,0.20245398773006135,0.704908549785614,0.20245398773006135
21,default_uniclust30_1,0.6983872,0.1901840490797546,0.6983872056007385,0.1901840490797546
22,default_uniclust30_2,0.6749121,0.13496932515337423,0.6749120950698853,0.13496932515337423
23,default_uniclust30_3,0.6735216,0.12269938650306748,0.6735215783119202,0.12269938650306748
24,default_uniclust30_4,0.66030854,0.10429447852760736,0.6603085398674011,0.10429447852760736
25,default_uniclust30_5,0.66730696,0.1165644171779141,0.6673069596290588,0.1165644171779141
26,default_uniclust30_6,0.6138647,0.018404907975460124,0.6138647198677063,0.018404907975460124
27,default_uniclust30_7,0.6252039,0.03067484662576687,0.6252039074897766,0.03067484662576687
28,default_uniclust30_8,0.6162501,0.024539877300613498,0.6162500977516174,0.024539877300613498
29,default_uniclust30_9,0.625206,0.03680981595092025,0.6252059936523438,0.03680981595092025
30,default_uniref30_22_0,0.83188784,0.9263803680981595,0.8318878412246704,0.9263803680981595
31,default_uniref30_22_1,0.8294633,0.9141104294478528,0.8294633030891418,0.9141104294478528
32,default_uniref30_22_2,0.8156852,0.8773006134969326,0.8156852126121521,0.8773006134969326
33,default_uniref30_22_3,0.78714013,0.803680981595092,0.7871401309967041,0.803680981595092
34,default_uniref30_22_4,0.7756392,0.6932515337423313,0.7756391763687134,0.6932515337423313
35,default_uniref30_22_5,0.7836088,0.7730061349693251,0.7836087942123413,0.7730061349693251
36,default_uniref30_22_6,0.78835654,0.8098159509202454,0.7883565425872803,0.8098159509202454
37,default_uniref30_22_7,0.7752054,0.6871165644171779,0.7752053737640381,0.6871165644171779
38,default_uniref30_22_8,0.7773603,0.7116564417177914,0.7773603200912476,0.7116564417177914
39,default_uniref30_22_9,0.7714284,0.656441717791411,0.7714284062385559,0.656441717791411
40,default_uniref30_22_10,0.74508417,0.4539877300613497,0.7450841665267944,0.4539877300613497
41,default_uniref30_22_11,0.7464537,0.4601226993865031,0.7464537024497986,0.4601226993865031
42,default_uniref30_22_12,0.7240609,0.3128834355828221,0.7240608930587769,0.3128834355828221
43,default_uniref30_22_13,0.7417735,0.4233128834355828,0.7417734861373901,0.4233128834355828
44,default_uniref30_22_14,0.7109955,0.2147239263803681,0.7109954953193665,0.2147239263803681
45,default_uniref30_22_15,0.7406679,0.39263803680981596,0.7406678795814514,0.39263803680981596
46,default_uniref30_22_16,0.73882234,0.3803680981595092,0.738822340965271,0.3803680981595092
47,default_uniref30_22_17,0.72291815,0.294478527607362,0.7229181528091431,0.294478527607362
48,default_uniref30_22_18,0.7179069,0.26993865030674846,0.7179068922996521,0.26993865030674846
49,default_uniref30_22_19,0.7414099,0.4110429447852761,0.7414098978042603,0.4110429447852761
50,default_uniref30_22_20,0.74426603,0.44785276073619634,0.7442660331726074,0.44785276073619634
51,default_uniref30_22_21,0.7150956,0.2331288343558282,0.715095579624176,0.2331288343558282
52,default_uniref30_22_22,0.7189312,0.27607361963190186,0.7189311981201172,0.27607361963190186
53,default_uniref30_22_23,0.73061836,0.3496932515337423,0.7306183576583862,0.3496932515337423
54,default_uniref30_22_24,0.7412629,0.4049079754601227,0.7412629127502441,0.4049079754601227
55,Elo_0,0.7701143,0.6441717791411042,0.7701143026351929,0.6441717791411042
56,Elo_1,0.72234905,0.2822085889570552,0.7223490476608276,0.2822085889570552
57,Elo_2,0.6850102,0.15950920245398773,0.6850101947784424,0.15950920245398773
58,Elo_3,0.7162503,0.25153374233128833,0.7162503004074097,0.25153374233128833
59,Elo_4,0.6736722,0.12883435582822086,0.6736721992492676,0.12883435582822086
60,spec_comp_0,0.7766978,0.6993865030674846,0.7766978144645691,0.6993865030674846
61,spec_comp_1,0.77458274,0.6809815950920245,0.7745827436447144,0.6809815950920245
62,spec_comp_2,0.7732884,0.6687116564417178,0.7732884287834167,0.6687116564417178
63,spec_comp_3,0.757034,0.5337423312883436,0.7570340037345886,0.5337423312883436
64,spec_comp_4,0.76933855,0.6319018404907976,0.7693385481834412,0.6319018404907976
65,spec_comp_5,0.76863086,0.6134969325153374,0.768630862236023,0.6134969325153374
66,spec_comp_6,0.71583,0.2392638036809816,0.7158300280570984,0.2392638036809816
67,spec_comp_7,0.68252975,0.15337423312883436,0.6825297474861145,0.15337423312883436
68,spec_iter_uniref_a3m_0,0.7820902,0.754601226993865,0.7820901870727539,0.754601226993865
69,spec_iter_uniref_a3m_1,0.7686074,0.6073619631901841,0.7686073780059814,0.6073619631901841
70,spec_iter_uniref_a3m_2,0.7738782,0.6748466257668712,0.7738782167434692,0.6748466257668712
71,spec_iter_uniref_a3m_3,0.749051,0.4723926380368098,0.7490509748458862,0.4723926380368098
72,spec_iter_uniref_a3m_4,0.7730673,0.6625766871165644,0.7730672955513,0.6625766871165644
73,spec_iter_uniref_a3m_5,0.74394095,0.44171779141104295,0.7439409494400024,0.44171779141104295
74,spec_iter_uniref_a3m_6,0.7697386,0.6380368098159509,0.7697386145591736,0.6380368098159509
75,spec_iter_uniref_a3m_7,0.7174968,0.26380368098159507,0.7174968123435974,0.26380368098159507
76,spec_iter_uniref_a3m_8,0.65819603,0.09202453987730061,0.6581960320472717,0.09202453987730061
77,spec_iter_uniref_a3m_9,0.6030665,0.006134969325153374,0.6030665040016174,0.006134969325153374
78,spec_pdb_0,0.7833216,0.7668711656441718,0.7833216190338135,0.7668711656441718
79,spec_pdb_1,0.77905077,0.7239263803680982,0.7790507674217224,0.7239263803680982
80,spec_pdb_2,0.75900257,0.5521472392638037,0.7590025663375854,0.5521472392638037
81,spec_pdb_3,0.75203633,0.50920245398773,0.7520363330841064,0.50920245398773
82,spec_pdb_4,0.74936765,0.4785276073619632,0.7493676543235779,0.4785276073619632
83,spec_pdb_5,0.7779493,0.7177914110429447,0.7779492735862732,0.7177914110429447
84,spec_pdb_6,0.7299774,0.34355828220858897,0.7299774289131165,0.34355828220858897
85,spec_pdb_7,0.7568537,0.5276073619631901,0.7568536996841431,0.5276073619631901
86,spec_pdb_8,0.71265304,0.22699386503067484,0.7126530408859253,0.22699386503067484
87,spec_pdb_9,0.7228232,0.2883435582822086,0.7228232026100159,0.2883435582822086
88,spec_pdb70_0,0.7001814,0.19631901840490798,0.7001814246177673,0.19631901840490798
89,spec_pdb70_1,0.75175697,0.5030674846625767,0.7517569661140442,0.5030674846625767
90,spec_pdb70_2,0.65898573,0.09815950920245399,0.6589857339859009,0.09815950920245399
91,spec_pdb70_3,0.6574569,0.08588957055214724,0.6574568748474121,0.08588957055214724
