jobs,iptm_ptm,num_inter_pae,iptm,mpDockQ/pDockQ
default_af_0,0.9424474703803581,90377,0.9403169751167297,0.7145941466747278
default_af_1,0.9422387547256792,90293,0.9401065707206726,0.7147914700997522
default_af_2,0.9385385591773961,89319,0.9360405802726746,0.712653128396939
default_af_3,0.9370828956061258,88944,0.934406578540802,0.7120287695347972
default_struct_0,0.9369450721930429,84977,0.9364599585533142,0.7159511780992774
default_struct_1,0.9367152712049075,85471,0.9362304210662842,0.7165754477526404
lewis_0,0.9365366409487297,85408,0.9361397624015808,0.7167277500871424
default_struct_2,0.9364856217884958,85011,0.9360189437866211,0.716325087678325
lewis_1,0.9364630436540868,85434,0.9360929727554321,0.7171225057946827
default_struct_3,0.9364285641263391,85443,0.9359835386276245,0.7162690753043115
default_uniref30_0,0.9364191044753511,85399,0.9360389709472656,0.7160569820182084
lewis_2,0.9363217266932589,85060,0.9357028007507324,0.7158212478532145
default_struct_4,0.9362008510928483,84963,0.9357279539108276,0.7162527338684883
lewis_3,0.9361946354640385,85320,0.9357795715332031,0.7163495394860556
lewis_4,0.9361934863219354,85357,0.9358025789260864,0.7160068723306974
default_uniref30_1,0.9361745892272796,85003,0.9356217980384827,0.7160437740556295
default_uniref30_2,0.9358346487415674,84854,0.9352271556854248,0.7156226063233416
default_pdb70_0,0.9357473722203323,85477,0.9350108504295349,0.7166762875775824
default_multimer_0,0.9357326474442527,84964,0.9351944923400879,0.7156521994714781
spec_iter_uniref_sto_0,0.9356267383863358,84350,0.9348653554916382,0.7150157725543776
spec_iter_uniref_sto_1,0.9356231838948534,84598,0.9348517656326294,0.7156328805468587
default_pdb70_1,0.9355669641637243,84493,0.9350213408470154,0.71696266200199
default_multimer_1,0.9353912916633194,84904,0.9348883628845215,0.7160099234504556
default_pdb70_2,0.9352998689694717,85227,0.9346225261688232,0.7168522354264436
default_af_4,0.935200883660573,88350,0.932022750377655,0.7127367011475062
Elo_0,0.9350964663402285,84240,0.9344819784164429,0.7156782545959454
spec_iter_uniref_sto_2,0.9349222249748993,84853,0.9334665536880493,0.716165789423287
spec_struct_0,0.9348670905734643,83595,0.9341000318527222,0.7167540794469874
default_struct_5,0.934833902989527,84536,0.9343403577804565,0.7172905566559847
default_af_5,0.9346887561545235,88165,0.9314249157905579,0.7126141224072848
default_af_6,0.9346177909563553,89606,0.9313389658927917,0.7117178188010786
uniclust_oxmatch_a3m_0,0.9345487145033841,82376,0.933537483215332,0.7135386760972726
default_pdb70_3,0.9344429611002517,84289,0.9338643550872803,0.7163736751815476
default_af_7,0.9344380124639573,89525,0.9311224222183228,0.7096816472714544
uniclust_oxmatch_a3m_1,0.9343524883587067,82333,0.9332717657089233,0.713134935588079
Elo_1,0.9343377337081,83886,0.9336671829223633,0.7157445074261966
Elo_2,0.9341864996306404,84056,0.9336122274398804,0.716199259466296
default_multimer_2,0.9340136676197814,84648,0.9336617588996887,0.7170044319833665
default_uniref30_3,0.9340021080932102,84911,0.9331895112991333,0.7149275529872031
spec_iter_uniref_sto_3,0.9339785029011863,84748,0.9330989718437195,0.7169333097028115
Elo_3,0.933924995142008,83942,0.9332674741744995,0.7152951660764441
default_multimer_3,0.9338240268496361,84762,0.9329491257667542,0.7148652285257816
default_multimer_4,0.9337087610178338,84556,0.9332926869392395,0.7168766054553551
uniclust_oxmatch_a3m_2,0.9333598999552559,80452,0.9329288601875305,0.7135546656285614
default_pdb70_4,0.9333480338848938,84581,0.9329619407653809,0.7165662993528147
default_struct_6,0.9333477760816682,83627,0.932502806186676,0.7176841473537771
default_struct_7,0.9332956213741803,83740,0.9324713349342346,0.7176937596771492
Elo_4,0.9332724700242653,83099,0.9325188398361206,0.715180780433533
default_uniref30_4,0.9332677411703063,84241,0.9328639507293701,0.7168220375534834
default_multimer_5,0.93325047387538,84648,0.9323234558105469,0.7147600457298907
default_uniref30_5,0.9331762669722636,84615,0.9322885274887085,0.7147950734296703
default_pdb70_5,0.932757195353593,84348,0.9323524236679077,0.7164180793619678
spec_iter_uniref_sto_4,0.9327350548012884,84000,0.9317114353179932,0.7166602592385701
spec_struct_1,0.9326125252179323,82059,0.9315170049667358,0.7128457584218963
spec_iter_uniref_sto_5,0.932258957475895,83536,0.9312947988510132,0.7146639979764489
spec_iter_uniprot_sto_0,0.9322302206981308,83539,0.931448757648468,0.7148823014062952
spec_iter_uniprot_sto_1,0.9320616083088172,83665,0.9311829805374146,0.7153928123262985
uniclust_oxmatch_a3m_3,0.9320439412295357,79864,0.9314671158790588,0.7123122456498778
default_uniref30_6,0.9317664051657941,83124,0.93045574426651,0.7162724382364644
spec_iter_uniref_sto_6,0.9316857347363072,83106,0.9301855564117432,0.7163261894829159
default_multimer_6,0.9316630789386238,83001,0.9303821325302124,0.7157614574643028
default_uniref30_7,0.9315912966513645,83036,0.9303022623062134,0.7160542091900921
default_pdb70_6,0.9314468064718526,83248,0.9300957918167114,0.7155572431203502
iter_2_0,0.931213557204045,83831,0.9303702116012573,0.709691218510666
default_multimer_7,0.9311651540640926,82957,0.929844319820404,0.7159453442096293
iter_2_1,0.9311537312737374,82739,0.9299368858337402,0.7116859906253554
default_pdb70_7,0.9311166215597498,82956,0.9297498464584351,0.7155785432154926
default_struct_8,0.931052774541264,82747,0.9302530288696289,0.7161145390942758
uniclust_oxmatch_a3m_4,0.9310457832183867,79857,0.9298416376113892,0.7106647859567204
iter_2_2,0.93103187549858,83911,0.9302265048027039,0.7097241242101577
uniclust_oxmatch_a3m_5,0.9307578585705327,79988,0.9296237230300903,0.7103156181810099
spec_iter_uniref_sto_7,0.9307363790324379,82971,0.9296702146530151,0.7157439773372294
iter_2_3,0.9307324019781567,82630,0.9295311570167542,0.711719894309123
default_struct_9,0.9306829589078415,82754,0.9298190474510193,0.7159697579872788
uniclust_oxmatch_a3m_6,0.93019689293536,80511,0.929211437702179,0.713204559330107
spec_iter_uniprot_sto_2,0.9298024978496747,84587,0.9286171793937683,0.7140726483983036
spec_iter_uniprot_sto_3,0.9297965202783941,83601,0.9281872510910034,0.7159039967660215
uniclust_oxmatch_a3m_7,0.9296601440765637,80391,0.9287809133529663,0.7125026632911681
spec_pdb70_0,0.9286509592717784,80834,0.9273322224617004,0.7124032178547212
default_pdb_0,0.9279832112196637,81990,0.9266852140426636,0.7104728564632576
spec_pdb70_1,0.9278945867275715,80781,0.9264919757843018,0.7117733113160394
default_comp_0,0.9277033170438931,81997,0.9263583421707153,0.7113279946882444
iter_2_4,0.9275053452905472,81901,0.9263116121292114,0.712973855857842
spec_struct_2,0.9271173124361525,80572,0.9256234765052795,0.7100149344169201
spec_struct_3,0.927003663472233,80538,0.9254974126815796,0.7104887447839208
default_pdb_1,0.9269865524228896,82251,0.9258320331573486,0.7102281084459643
iter_1_0,0.9269336575281237,81425,0.9261198043823242,0.7110197942642613
spec_pdb70_2,0.9268144581507864,80674,0.9252527952194214,0.7110123198439173
spec_iter_uniref_a3m_0,0.9267165582569565,80639,0.9252495765686035,0.7109850009183254
spec_pdb70_3,0.9264790659261565,80439,0.924899160861969,0.7117975874982455
iter_1_1,0.9264355957335841,81311,0.9256118535995483,0.7118270422351126
spec_iter_uniprot_sto_4,0.926421613225691,82119,0.9253249168395996,0.7142385469834887
spec_iter_uniprot_sto_5,0.9262640701212947,81429,0.9246637225151062,0.7156387812365154
iter_1_2,0.9261754737510419,82435,0.9244877696037292,0.7103891993170571
iter_1_3,0.9261563679022929,82312,0.9252004623413086,0.710818462863631
spec_iter_uniref_a3m_1,0.9258786128439968,80036,0.9241811037063599,0.710259846714293
spec_iter_uniref_a3m_2,0.9257094059836939,80201,0.9242067337036133,0.7112136152211173
iter_1_4,0.9254226927936742,82477,0.9236223101615906,0.710080858175595
iter_2_5,0.9251005214438028,81477,0.9238581657409668,0.710211993701332
iter_1_5,0.9247785223303446,81843,0.9238453507423401,0.7105845344507989
spec_iter_uniref_a3m_3,0.9245530622342524,79781,0.9227432012557983,0.7110960367295329
default_uniref30_8,0.9244938593694256,80867,0.9229571223258972,0.7119549410892404
default_multimer_8,0.924471446880788,80886,0.9230040907859802,0.7126400824932533
iter_2_6,0.9244559248597458,81770,0.9222397804260254,0.7099224281399205
default_pdb70_8,0.9244433510170647,80839,0.9231598377227783,0.714408209656092
iter_1_6,0.9244419971710743,81198,0.9228608012199402,0.7088585250221858
default_multimer_9,0.9244344561069525,80888,0.9229543209075928,0.7123978238700519
iter_1_7,0.9243938752429591,81529,0.9229757785797119,0.7106966935883833
spec_struct_4,0.9242887124575139,81442,0.9226564168930054,0.712403543844261
default_comp_1,0.9241367845045331,81539,0.9228168725967407,0.7100941513386214
spec_iter_uniprot_sto_6,0.9240417874422289,81268,0.9221439361572266,0.7122050236417233
spec_struct_5,0.9240196573667008,80645,0.9222404360771179,0.7074121264308334
iter_2_7,0.9240157513194002,82360,0.9217291474342346,0.7077420524102374
default_uniref30_9,0.923945580123385,80684,0.9224938750267029,0.7126755135341889
iter_1_8,0.9238732647487233,81025,0.9223144054412842,0.7088629947558358
iter_2_8,0.9238240587972436,82069,0.9228995442390442,0.7110715093991569
spec_af_0,0.9237809985834752,83666,0.9201653003692627,0.7062148661737319
iter_1_9,0.9236998068693989,81365,0.922237753868103,0.7095241659305938
spec_pdb70_4,0.9236925934338878,79316,0.9221107959747314,0.7095180558655224
spec_pdb70_5,0.9236594210858855,80067,0.9217875003814697,0.7108706358634217
default_comp_2,0.9234752448866471,81751,0.9214621782302856,0.7099056282016121
spec_struct_6,0.923396757949923,79237,0.9218698143959045,0.7091861052815852
default_pdb70_9,0.9232730434748097,80598,0.9219265580177307,0.7136606029634744
spec_struct_7,0.9232529306554592,79161,0.921647310256958,0.7089877313068014
spec_pdb70_6,0.9230265109377236,79882,0.9210449457168579,0.7096255583710552
spec_pdb70_7,0.9227142418098919,78941,0.9212074875831604,0.7091337561732203
default_pdb_2,0.9225622391738516,81725,0.9205172061920166,0.7095713042836049
default_comp_3,0.92255879326391,80227,0.9202540516853333,0.7045729818690042
default_comp_4,0.9224992069337797,81564,0.9202959537506104,0.7083634217959692
iter_2_9,0.9224022099059187,81733,0.9212737083435059,0.7097980958016257
default_pdb_3,0.9223427277919944,80470,0.9201269149780273,0.7047733061394539
spec_af_1,0.9222395270365122,83239,0.9184795618057251,0.7064957776710964
default_pdb_4,0.9218731705665624,81879,0.9200816750526428,0.7088597432866833
spec_iter_uniref_a3m_4,0.9215692158534176,78747,0.9197123646736145,0.7082537772074239
spec_af_2,0.9214766200114543,83014,0.9169183969497681,0.7076871985806186
spec_iter_uniref_a3m_5,0.9209044923956756,78453,0.9189980030059814,0.709144756066625
spec_af_3,0.9208192361305038,82941,0.9161478281021118,0.7070984487856784
default_comp_5,0.9205350572735825,80598,0.9187661409378052,0.7061038402140022
default_pdb_5,0.9201337184765414,80365,0.9185431599617004,0.7056374385192419
spec_iter_uniref_a3m_6,0.9197023715700892,78867,0.9172815084457397,0.7077017055321786
