,model,icps,recall
0,T1170TS003_1o,0.008764285714285714,0.0
1,T1170TS003_2o,0.0084575,0.0
2,T1170TS003_3o,0.006153333333333333,0.0
3,T1170TS003_4o,0.006153333333333333,0.0
4,T1170TS003_5o,0.006963999999999999,0.0
5,T1170TS035_1o,0.007839622641509433,0.0
6,T1170TS035_2o,0.009830434782608696,0.0
7,T1170TS035_3o,0.008322413793103448,0.0
8,T1170TS035_4o,0.009003571428571428,0.0
9,T1170TS035_5o,0.008303333333333334,0.0
10,T1170TS037_1o,0.010312903225806453,0.0
11,T1170TS037_2o,0.012014285714285715,0.0
12,T1170TS037_3o,0.008547511312217194,0.0
13,T1170TS037_4o,0.012014285714285715,0.0
14,T1170TS037_5o,0.013324137931034484,0.0
15,T1170TS046_1o,0.007839622641509433,0.0
16,T1170TS046_2o,0.009830434782608696,0.0
17,T1170TS046_3o,0.008322413793103448,0.0
18,T1170TS046_4o,0.009003571428571428,0.0
19,T1170TS046_5o,0.008303333333333334,0.0
20,T1170TS054_1o,0.006522222222222222,0.0
21,T1170TS054_2o,0.006883999999999999,0.0
22,T1170TS054_3o,0.007394117647058822,0.0
23,T1170TS054_4o,0.008764285714285714,0.0
24,T1170TS054_5o,0.006852173913043478,0.0
25,T1170TS071_1o,0.007826666666666666,0.0
26,T1170TS071_2o,0.008332,0.0
27,T1170TS071_3o,0.0073178571428571424,0.0
28,T1170TS071_4o,0.007851612903225806,0.0
29,T1170TS071_5o,0.008199999999999999,0.0
30,T1170TS073_1o,0.01182,0.0
31,T1170TS073_2o,0.008842857142857142,0.0
32,T1170TS073_3o,0.008971428571428571,0.0
33,T1170TS073_4o,0.01924,0.0
34,T1170TS073_5o,0.006903571428571428,0.0
35,T1170TS086_1o,0.006963999999999999,0.0
36,T1170TS086_2o,0.007226086956521738,0.0
37,T1170TS086_3o,0.009195833333333334,0.0
38,T1170TS086_4o,0.008407692307692309,0.0
39,T1170TS086_5o,0.008407692307692309,0.0
40,T1170TS091_1o,0.0090925,0.0
41,T1170TS091_2o,0.02229666666666667,0.0
42,T1170TS091_3o,0.01496904761904762,0.0
43,T1170TS091_4o,0.005164150943396227,0.0
44,T1170TS091_5o,0.009180769230769232,0.0
45,T1170TS098_1o,0.012939743589743587,0.0
46,T1170TS098_2o,0.0,0.0
47,T1170TS098_3o,0.011054999999999999,0.0
48,T1170TS098_4o,0.011054999999999999,0.0
49,T1170TS098_5o,0.012939743589743587,0.0
50,T1170TS119_1o,0.008523333333333332,0.0
51,T1170TS119_2o,0.010005714285714284,0.0
52,T1170TS119_3o,0.008159999999999999,0.0
53,T1170TS119_4o,0.00822,0.0
54,T1170TS119_5o,0.008180487804878048,0.0
55,T1170TS122_2o,0.008523333333333332,0.0
56,T1170TS125_1o,0.006522222222222222,0.0
57,T1170TS125_2o,0.006883999999999999,0.0
58,T1170TS125_3o,0.007394117647058822,0.0
59,T1170TS125_4o,0.008764285714285714,0.0
60,T1170TS125_5o,0.006852173913043478,0.0
61,T1170TS131_1o,0.008159999999999999,0.0
62,T1170TS131_2o,0.00822,0.0
63,T1170TS131_3o,0.008675757575757576,0.0
64,T1170TS131_4o,0.009209374999999999,0.0
65,T1170TS131_5o,0.009920689655172413,0.0
66,T1170TS147_1o,0.009861904761904763,0.0
67,T1170TS147_2o,0.008775999999999999,0.0
68,T1170TS147_3o,0.009287499999999999,0.0
69,T1170TS147_4o,0.010004545454545455,0.0
70,T1170TS147_5o,0.00993888888888889,0.0
71,T1170TS150_1o,0.0072499999999999995,0.0
72,T1170TS150_2o,0.009786956521739132,0.0
73,T1170TS150_3o,0.008669230769230768,0.0
74,T1170TS150_4o,0.008008823529411764,0.0
75,T1170TS150_5o,0.008154545454545454,0.0
76,T1170TS158_1o,0.006963999999999999,0.0
77,T1170TS158_2o,0.007226086956521738,0.0
78,T1170TS158_3o,0.009195833333333334,0.0
79,T1170TS158_4o,0.008407692307692309,0.0
80,T1170TS158_5o,0.008407692307692309,0.0
81,T1170TS165_1o,0.007839655172413793,0.0
82,T1170TS165_2o,0.007569444444444444,0.0
83,T1170TS165_3o,0.0061701754385964916,0.0
84,T1170TS165_4o,0.0059875,0.0
85,T1170TS165_5o,0.009144444444444446,0.0
86,T1170TS169_1o,0.011054999999999999,0.0
87,T1170TS169_2o,0.011054999999999999,0.0
88,T1170TS169_3o,0.012939743589743587,0.0
89,T1170TS169_4o,0.012939743589743587,0.0
90,T1170TS169_5o,0.0,0.0
91,T1170TS180_1o,0.00754468085106383,0.0
92,T1170TS180_2o,0.007481818181818181,0.0
93,T1170TS180_3o,0.008133333333333333,0.0
94,T1170TS180_4o,0.007717142857142857,0.0
95,T1170TS180_5o,0.0072275,0.0
96,T1170TS185_1o,0.005832142857142858,0.0
97,T1170TS185_2o,0.005651724137931035,0.0
98,T1170TS185_3o,0.005523076923076923,0.0
99,T1170TS185_4o,0.005696296296296297,0.0
100,T1170TS185_5o,0.005525,0.0
101,T1170TS187_1o,0.0073243243243243245,0.0
102,T1170TS187_2o,0.00950909090909091,0.0
103,T1170TS187_3o,0.009405714285714286,0.0
104,T1170TS187_4o,0.0080875,0.0
105,T1170TS187_5o,0.008844871794871794,0.0
106,T1170TS188_1o,0.012817105263157894,0.0
107,T1170TS188_2o,0.012838666666666665,0.0
108,T1170TS188_3o,0.012949367088607588,0.0
109,T1170TS188_4o,0.011054999999999999,0.0
110,T1170TS188_5o,0.011054999999999999,0.0
111,T1170TS205_1o,0.008276190476190473,0.0
112,T1170TS205_2o,0.01501639344262295,0.0
113,T1170TS205_3o,0.0083425,0.0
114,T1170TS205_4o,0.009587755102040817,0.0
115,T1170TS205_5o,0.007875925925925925,0.0
116,T1170TS229_1o,0.007411320754716981,0.0
117,T1170TS229_2o,0.007846153846153846,0.0
118,T1170TS229_3o,0.007850943396226414,0.0
119,T1170TS229_4o,0.009933333333333332,0.0
120,T1170TS229_5o,0.008826086956521739,0.0
121,T1170TS239_1o,0.006553846153846154,0.0
122,T1170TS239_2o,0.009202857142857145,0.0
123,T1170TS239_3o,0.008723076923076924,0.0
124,T1170TS239_4o,0.009358333333333331,0.0
125,T1170TS239_5o,0.010972222222222223,0.0
126,T1170TS245_1o,0.014603999999999999,0.0
127,T1170TS248_1o,0.007839622641509433,0.0
128,T1170TS248_2o,0.009830434782608696,0.0
129,T1170TS248_3o,0.008322413793103448,0.0
130,T1170TS248_4o,0.009003571428571428,0.0
131,T1170TS248_5o,0.008303333333333334,0.0
132,T1170TS278_1o,0.007722727272727272,0.0
133,T1170TS278_2o,0.0073906250000000005,0.0
134,T1170TS278_3o,0.012649999999999998,0.0
135,T1170TS278_4o,0.008584615384615383,0.0
136,T1170TS278_5o,0.0075,0.0
137,T1170TS288_1o,0.0093,0.0
138,T1170TS288_2o,0.008842857142857142,0.0
139,T1170TS288_3o,0.008971428571428571,0.0
140,T1170TS288_4o,0.01924,0.0
141,T1170TS288_5o,0.006903571428571428,0.0
142,T1170TS291_1o,0.00818918918918919,0.0
143,T1170TS291_2o,0.008562499999999999,0.0
144,T1170TS291_3o,0.00839655172413793,0.0
145,T1170TS291_4o,0.010041176470588234,0.0
146,T1170TS291_5o,0.007567441860465115,0.0
147,T1170TS298_1o,0.008600000000000002,0.0
148,T1170TS298_2o,0.010127272727272728,0.0
149,T1170TS298_3o,0.008705555555555557,0.0
150,T1170TS298_4o,0.0083425,0.0
151,T1170TS298_5o,0.010841176470588236,0.0
152,T1170TS304_1o,0.007839622641509433,0.0
153,T1170TS304_2o,0.009830434782608696,0.0
154,T1170TS304_3o,0.008322413793103448,0.0
155,T1170TS304_4o,0.009003571428571428,0.0
156,T1170TS304_5o,0.008303333333333334,0.0
157,T1170TS312_1o,0.01683636363636364,0.0
158,T1170TS312_2o,0.001406896551724138,0.0
159,T1170TS312_3o,0.013108333333333333,0.0
160,T1170TS312_4o,0.006638095238095236,0.0
161,T1170TS312_5o,0.00030000000000000003,0.0
162,T1170TS320_1o,0.009968181818181819,0.0
163,T1170TS320_2o,0.010988888888888888,0.0
164,T1170TS320_3o,0.009851282051282053,0.0
165,T1170TS320_4o,0.010624999999999997,0.0
166,T1170TS320_5o,0.0085625,0.0
167,T1170TS325_1o,0.0108,0.0
168,T1170TS347_1o,0.0108,0.0
169,T1170TS348_1o,0.009287499999999999,0.0
170,T1170TS348_2o,0.009786956521739132,0.0
171,T1170TS348_3o,0.008988571428571429,0.0
172,T1170TS348_4o,0.009786956521739132,0.0
173,T1170TS348_5o,0.0085625,0.0
174,T1170TS350_1o,0.00818918918918919,0.0
175,T1170TS350_2o,0.008562499999999999,0.0
176,T1170TS350_3o,0.00839655172413793,0.0
177,T1170TS350_4o,0.010041176470588234,0.0
178,T1170TS350_5o,0.007567441860465115,0.0
179,T1170TS360_1o,0.00841111111111111,0.0
180,T1170TS360_2o,0.008676923076923075,0.0
181,T1170TS360_5o,0.008823999999999999,0.0
182,T1170TS367_1o,0.006153333333333333,0.0
183,T1170TS367_2o,0.006153333333333333,0.0
184,T1170TS367_3o,0.008407692307692309,0.0
185,T1170TS367_4o,0.006125,0.0
186,T1170TS367_5o,0.010918181818181816,0.0
187,T1170TS374_1o,0.007894117647058824,0.0
188,T1170TS374_2o,0.007382857142857143,0.0
189,T1170TS374_3o,0.007954838709677418,0.0
190,T1170TS374_4o,0.0089175,0.0
191,T1170TS374_5o,0.008735135135135135,0.0
192,T1170TS385_1o,0.014603999999999999,0.0
193,T1170TS390_1o,0.006963999999999999,0.0
194,T1170TS390_2o,0.008445,0.0
195,T1170TS390_3o,0.010227272727272725,0.0
196,T1170TS390_4o,0.011054999999999999,0.0
197,T1170TS390_5o,0.011054999999999999,0.0
198,T1170TS398_1o,0.007904166666666665,0.0
199,T1170TS398_2o,0.006921739130434783,0.0
200,T1170TS398_3o,0.00545,0.0
201,T1170TS398_4o,0.007569444444444444,0.0
202,T1170TS398_5o,0.0009058823529411765,0.0
203,T1170TS399_1o,0.006522222222222222,0.0
204,T1170TS399_2o,0.006883999999999999,0.0
205,T1170TS399_3o,0.007394117647058822,0.0
206,T1170TS399_4o,0.008764285714285714,0.0
207,T1170TS399_5o,0.006852173913043478,0.0
208,T1170TS423_1o,0.0073243243243243245,0.0
209,T1170TS423_2o,0.00950909090909091,0.0
210,T1170TS423_3o,0.009405714285714286,0.0
211,T1170TS423_4o,0.0080875,0.0
212,T1170TS423_5o,0.006319354838709677,0.0
213,T1170TS439_1o,0.007411320754716981,0.0
214,T1170TS439_2o,0.007846153846153846,0.0
215,T1170TS439_3o,0.007850943396226414,0.0
216,T1170TS439_4o,0.009933333333333332,0.0
217,T1170TS439_5o,0.008826086956521739,0.0
218,T1170TS444_1o,0.006,0.0
219,T1170TS444_2o,0.008437037037037036,0.0
220,T1170TS444_3o,0.00823409090909091,0.0
221,T1170TS444_4o,0.012059615384615384,0.0
222,T1170TS444_5o,0.007937037037037036,0.0
223,T1170TS446_1o,0.008523333333333332,0.0
224,T1170TS446_2o,0.010005714285714284,0.0
225,T1170TS446_3o,0.008180487804878048,0.0
226,T1170TS446_4o,0.008617857142857142,0.0
227,T1170TS446_5o,0.008992307692307692,0.0
228,T1170TS447_1o,0.012317751479289941,0.0
229,T1170TS447_2o,0.012939473684210525,0.0
230,T1170TS447_3o,0.010760416666666666,0.0
231,T1170TS447_4o,0.012317751479289941,0.0
232,T1170TS447_5o,0.012317751479289941,0.0
233,T1170TS456_1o,0.0108,0.0
234,T1170TS461_1o,0.008523333333333332,0.0
235,T1170TS461_2o,0.010005714285714284,0.0
236,T1170TS461_3o,0.008180487804878048,0.0
237,T1170TS461_4o,0.008617857142857142,0.0
238,T1170TS461_5o,0.008992307692307692,0.0
239,T1170TS462_1o,0.00754468085106383,0.0
240,T1170TS462_2o,0.007481818181818181,0.0
241,T1170TS462_3o,0.008133333333333333,0.0
242,T1170TS462_4o,0.007717142857142857,0.0
243,T1170TS462_5o,0.0072275,0.0
244,T1170TS472_1o,0.007815217391304348,0.0
245,T1170TS477_1o,0.007405405405405406,0.0
246,T1170TS493_1o,0.012862499999999999,0.0
247,T1170TS493_2o,0.009833333333333331,0.0
248,T1170TS493_3o,0.012754545454545452,0.0
249,T1170TS493_4o,0.009096,0.0
250,T1170TS493_5o,0.011752941176470591,0.0
251,T1170TS494_1o,0.010513888888888889,0.0
252,T1170TS494_2o,0.008378048780487805,0.0
253,T1170TS494_3o,0.008189583333333333,0.0
254,T1170TS494_4o,0.005627777777777778,0.0
255,T1170TS494_5o,0.004185454545454547,0.0
