,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_v2_0,default_comp_v2_1,default_comp_v2_2,default_comp_v2_3,default_comp_v2_4,default_comp_v2_5,default_comp_v2_6,default_comp_v2_7,default_comp_v2_8,default_comp_v2_9,default_img_0,default_img_1,default_img_2,default_img_3,default_img_4,default_img_5,default_img_6,default_img_7,default_img_8,default_img_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb70_v2_0,default_pdb70_v2_1,default_pdb70_v2_2,default_pdb70_v2_3,default_pdb70_v2_4,default_pdb70_v2_5,default_pdb70_v2_6,default_pdb70_v2_7,default_pdb70_v2_8,default_pdb70_v2_9,default_pdb_v2_0,default_pdb_v2_1,default_pdb_v2_2,default_pdb_v2_3,default_pdb_v2_4,default_pdb_v2_5,default_pdb_v2_6,default_pdb_v2_7,default_pdb_v2_8,default_pdb_v2_9,default_struct_v2_0,default_struct_v2_1,default_struct_v2_2,default_struct_v2_3,default_struct_v2_4,default_struct_v2_5,default_struct_v2_6,default_struct_v2_7,default_struct_v2_8,default_struct_v2_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,unidist_uniprot_img_0,unidist_uniprot_img_1,unidist_uniprot_img_2,unidist_uniprot_img_3,unidist_uniprot_img_4,unidist_uniprot_img_5,unidist_uniprot_img_6,unidist_uniprot_img_7,unidist_uniprot_img_8,unidist_uniprot_img_9,unidist_uniprot_sto_0,unidist_uniprot_sto_1,unidist_uniprot_sto_2,unidist_uniprot_sto_3,unidist_uniprot_sto_4,unidist_uniprot_sto_5,unidist_uniprot_sto_6,unidist_uniprot_sto_7,unidist_uniprot_sto_8,unidist_uniprot_sto_9
0,1.0,0.68566,0.88586,0.85684,0.82331,0.63363,0.63913,0.59861,0.60099,0.78889,0.74544,0.76505,0.70016,0.74577,0.76878,0.83528,0.79053,0.8858,0.81988,0.73262,0.83571,0.80122,0.6963,0.74683,0.68406,0.83178,0.7502,0.73684,0.72492,0.70357,0.70062,0.6602,0.66546,0.69285,0.6338,0.79415,0.85635,0.81896,0.7613,0.86161,0.85986,0.65544,0.70716,0.67451,0.71027,0.801,0.70575,0.63818,0.76181,0.90801,0.78221,0.74127,0.85661,0.87093,0.77796,0.77874,0.77328,0.79861,0.73681,0.74296,0.88979,0.65631,0.82258,0.85897,0.81853,0.7562,0.88786,0.68786,0.72168,0.85355,0.67507,0.7536,0.82335,0.66173,0.80021,0.71124,0.73151,0.74922,0.78206,0.74139,0.82961,0.73122,0.79,0.76469,0.8185,0.785,0.72959,0.62478,0.705,0.90918,0.67271,0.6783,0.72426,0.83406,0.77094,0.87755,0.8026,0.77583,0.6526,0.62976,0.64769,0.62547,0.63718,0.62716,0.6322,0.61493,0.62344,0.82292,0.64206,0.63535,0.6287,0.64389,0.63353,0.65115,0.76626,0.7244,0.62477,0.78674,0.6741,0.61777,0.65794,0.58129,0.12967,0.52525,0.14097,0.7059,0.63673,0.67432,0.63269,0.64061,0.79095,0.63109,0.6366,0.63706,0.6334,0.8596,0.77494,0.79412,0.83868,0.7185,0.76988,0.71582,0.72307,0.65199,0.73172
1,0.68566,1.0,0.70468,0.65916,0.67331,0.59314,0.59552,0.67543,0.67984,0.70989,0.68005,0.72336,0.62095,0.64018,0.64403,0.67901,0.70966,0.72706,0.7638,0.84284,0.65587,0.76529,0.90788,0.86162,0.84432,0.73862,0.86848,0.89931,0.84755,0.88392,0.87654,0.92545,0.62489,0.63033,0.80173,0.8171,0.74111,0.64561,0.63979,0.6678,0.68685,0.77595,0.86752,0.81002,0.86445,0.7776,0.63752,0.63236,0.79213,0.6756,0.8185,0.83764,0.76035,0.66064,0.83326,0.73368,0.79526,0.79056,0.85573,0.63523,0.69625,0.63071,0.64909,0.76135,0.77746,0.80415,0.69832,0.84882,0.88493,0.71488,0.90209,0.83754,0.75853,0.85177,0.64616,0.89869,0.63828,0.84275,0.83949,0.85,0.77207,0.63156,0.82375,0.84639,0.7838,0.64005,0.63654,0.6352,0.8854,0.67448,0.624,0.77604,0.84708,0.75815,0.69346,0.6595,0.66774,0.66436,0.61949,0.62899,0.74365,0.6952,0.7182,0.69839,0.71694,0.63592,0.67976,0.65596,0.73418,0.71015,0.62523,0.75817,0.72405,0.75513,0.76268,0.75765,0.66564,0.71915,0.78236,0.63117,0.58255,0.61018,0.51103,0.13765,0.15342,0.63446,0.74017,0.93514,0.72655,0.77746,0.74587,0.64104,0.74687,0.7668,0.75224,0.74673,0.6394,0.65611,0.65884,0.64009,0.64157,0.84194,0.87289,0.78232,0.8752
2,0.88586,0.70468,1.0,0.84918,0.84005,0.61691,0.62213,0.60875,0.61238,0.84264,0.79935,0.82077,0.69807,0.75528,0.77323,0.88176,0.85639,0.87625,0.84706,0.73853,0.83455,0.83964,0.69868,0.74132,0.68904,0.88544,0.77331,0.75637,0.77961,0.72332,0.72228,0.69015,0.66152,0.69594,0.65028,0.83117,0.93145,0.80778,0.76241,0.86149,0.89532,0.64899,0.70516,0.66827,0.69781,0.85285,0.69526,0.63704,0.79269,0.89204,0.80314,0.76038,0.86067,0.85656,0.78116,0.83259,0.82853,0.80521,0.75226,0.74379,0.89899,0.6516,0.81706,0.85843,0.82196,0.80359,0.88661,0.68823,0.73885,0.90287,0.68453,0.77383,0.85012,0.66777,0.80358,0.7278,0.72094,0.75517,0.77197,0.75802,0.8423,0.7178,0.79636,0.77195,0.84371,0.7859,0.74625,0.62599,0.70467,0.8958,0.66716,0.67264,0.72543,0.82024,0.7612,0.8701,0.85848,0.84363,0.64034,0.62325,0.649,0.62273,0.63487,0.63663,0.63022,0.61492,0.62579,0.84782,0.63644,0.63227,0.62595,0.64568,0.64318,0.65385,0.8183,0.76265,0.62429,0.85431,0.67052,0.61579,0.62788,0.57718,0.50702,0.52442,0.13775,0.71111,0.63731,0.68986,0.63558,0.64456,0.84793,0.6302,0.6456,0.63995,0.6366,0.85409,0.76162,0.79296,0.84539,0.7128,0.76683,0.71079,0.72353,0.65008,0.73434
3,0.85684,0.65916,0.84918,1.0,0.93685,0.64023,0.64763,0.59752,0.59996,0.76618,0.73509,0.73779,0.74142,0.78548,0.81015,0.8519,0.76175,0.80264,0.77083,0.68302,0.91749,0.76548,0.66101,0.68479,0.65581,0.79093,0.71741,0.70621,0.69307,0.67597,0.67499,0.65045,0.69921,0.75754,0.63137,0.73172,0.79691,0.92939,0.87787,0.91566,0.85046,0.63279,0.66066,0.64862,0.66027,0.7405,0.73646,0.65892,0.72768,0.90566,0.71837,0.69525,0.76899,0.89974,0.70687,0.73458,0.71677,0.7311,0.69005,0.82205,0.84926,0.68922,0.88775,0.766,0.74613,0.71418,0.85125,0.65307,0.69881,0.82502,0.65246,0.70461,0.75966,0.63974,0.89106,0.69386,0.78035,0.68788,0.72654,0.69338,0.75857,0.769,0.71635,0.70629,0.74679,0.86672,0.83585,0.63868,0.68065,0.89835,0.7362,0.65062,0.67456,0.74399,0.73244,0.93468,0.87258,0.83488,0.69168,0.64224,0.62987,0.61365,0.62233,0.61977,0.61898,0.62207,0.61799,0.89256,0.62425,0.61989,0.65465,0.6275,0.62172,0.64851,0.72868,0.69685,0.63836,0.76199,0.66279,0.62944,0.65706,0.57611,0.12996,0.52517,0.13169,0.75756,0.64407,0.65398,0.62574,0.64568,0.73822,0.6481,0.6269,0.62519,0.62533,0.77892,0.86834,0.85299,0.91282,0.75435,0.88424,0.67054,0.67854,0.63184,0.68527
4,0.82331,0.67331,0.84005,0.93685,1.0,0.62913,0.63718,0.59405,0.59621,0.74874,0.71904,0.71864,0.76062,0.76798,0.79656,0.86558,0.75551,0.76724,0.72986,0.67201,0.90471,0.72362,0.6547,0.6735,0.64349,0.78563,0.68403,0.67582,0.68447,0.66531,0.66423,0.6449,0.70312,0.76946,0.62984,0.71955,0.7806,0.92006,0.894,0.86534,0.81156,0.62366,0.64995,0.63505,0.64694,0.73555,0.77388,0.65523,0.69112,0.87581,0.70143,0.68339,0.74035,0.90047,0.69232,0.72881,0.7142,0.70799,0.67559,0.82409,0.82678,0.6892,0.88343,0.74465,0.72337,0.70319,0.80423,0.64496,0.66468,0.82859,0.64547,0.68774,0.73604,0.63456,0.88142,0.66282,0.8288,0.67578,0.69044,0.67695,0.72844,0.80625,0.70189,0.68996,0.72611,0.8904,0.86766,0.63188,0.64856,0.84958,0.73019,0.63506,0.65913,0.71817,0.6951,0.91342,0.88803,0.81973,0.68405,0.63822,0.6185,0.60755,0.61376,0.61119,0.61167,0.61388,0.61104,0.85134,0.6189,0.61161,0.65047,0.63116,0.61386,0.62303,0.70901,0.6796,0.61744,0.74432,0.6337,0.62538,0.62656,0.56836,0.12751,0.52398,0.12969,0.78498,0.62207,0.65356,0.62598,0.62475,0.74197,0.65278,0.63356,0.62233,0.62303,0.74804,0.86316,0.91584,0.8965,0.80598,0.88641,0.66051,0.67051,0.62773,0.67453
5,0.63363,0.59314,0.61691,0.64023,0.62913,1.0,0.99756,0.59373,0.59438,0.63443,0.63943,0.62971,0.78736,0.6886,0.68738,0.64325,0.61741,0.61899,0.61469,0.60901,0.64818,0.61144,0.59057,0.59727,0.59601,0.61113,0.60146,0.59881,0.59154,0.59649,0.59501,0.58657,0.70196,0.66981,0.58282,0.60182,0.6171,0.66518,0.6565,0.62252,0.61754,0.59359,0.59782,0.59028,0.60043,0.60535,0.75857,0.65644,0.60861,0.63118,0.60624,0.59738,0.60915,0.65082,0.60659,0.60955,0.60037,0.60834,0.60061,0.73798,0.63357,0.71967,0.68186,0.61039,0.61813,0.60035,0.61487,0.59394,0.59799,0.61891,0.59065,0.59813,0.60397,0.59199,0.69206,0.59321,0.6872,0.60081,0.60898,0.59969,0.60977,0.7199,0.60702,0.60141,0.60078,0.64573,0.63139,0.60527,0.59861,0.64212,0.65996,0.59027,0.59958,0.61257,0.59842,0.64794,0.63393,0.61746,0.7057,0.63331,0.58443,0.58032,0.58204,0.59231,0.58115,0.6127,0.59362,0.63596,0.58755,0.57974,0.68015,0.59127,0.58378,0.6026,0.6092,0.60122,0.6234,0.60948,0.599,0.62801,0.58807,0.57031,0.50992,0.5248,0.13974,0.72764,0.5943,0.59673,0.58922,0.59225,0.61616,0.65512,0.6007,0.58782,0.58788,0.61895,0.70508,0.65253,0.65958,0.70829,0.64696,0.60112,0.61043,0.59924,0.60912
6,0.63913,0.59552,0.62213,0.64763,0.63718,0.99756,1.0,0.59548,0.59618,0.63878,0.64284,0.6335,0.80123,0.6944,0.69465,0.65057,0.62102,0.62325,0.61795,0.61193,0.6574,0.61438,0.59296,0.59989,0.59914,0.61536,0.60403,0.60132,0.59436,0.59856,0.59711,0.58896,0.72229,0.68808,0.58573,0.60495,0.62133,0.67489,0.67074,0.62813,0.62203,0.59613,0.60086,0.59233,0.60349,0.60839,0.77875,0.67212,0.61113,0.63756,0.60895,0.60027,0.61306,0.65931,0.60978,0.6127,0.60323,0.61118,0.60299,0.75343,0.63919,0.73682,0.69184,0.61387,0.62147,0.60306,0.61951,0.59633,0.60042,0.62392,0.59281,0.60068,0.60763,0.59474,0.70352,0.59538,0.70604,0.60332,0.6125,0.60202,0.61294,0.73817,0.60991,0.60415,0.60417,0.65559,0.64166,0.61264,0.60188,0.648,0.67599,0.59252,0.60262,0.61616,0.6011,0.65581,0.64118,0.62303,0.71748,0.64665,0.58625,0.58248,0.58399,0.59517,0.58303,0.61998,0.59677,0.64145,0.59017,0.58155,0.69222,0.59425,0.58597,0.60604,0.61251,0.60432,0.63044,0.61329,0.60231,0.63768,0.59066,0.57124,0.50952,0.5248,0.14011,0.74778,0.59785,0.59907,0.59258,0.59524,0.61988,0.66998,0.60436,0.59026,0.59055,0.62288,0.71967,0.66436,0.66867,0.72733,0.65609,0.60382,0.61379,0.60226,0.61231
7,0.59861,0.67543,0.60875,0.59752,0.59405,0.59373,0.59548,1.0,0.99861,0.6957,0.68042,0.7183,0.58807,0.63229,0.62966,0.60121,0.62885,0.6267,0.63912,0.6615,0.59516,0.66441,0.66221,0.63977,0.6321,0.6555,0.67836,0.67835,0.73479,0.72611,0.73525,0.73141,0.58277,0.58878,0.67431,0.68422,0.62703,0.58787,0.58746,0.60361,0.61306,0.62239,0.62937,0.63377,0.63261,0.67058,0.57718,0.5898,0.68838,0.60292,0.67668,0.67834,0.63517,0.59291,0.65272,0.65274,0.69763,0.6611,0.69884,0.58508,0.60915,0.59116,0.58508,0.63117,0.63778,0.72306,0.62609,0.66853,0.69428,0.62727,0.71101,0.71716,0.65896,0.64895,0.58878,0.72639,0.58379,0.64476,0.62708,0.6959,0.6443,0.58054,0.65603,0.65796,0.66469,0.58181,0.58182,0.59038,0.63981,0.59756,0.58399,0.63952,0.63285,0.63089,0.62413,0.59123,0.60071,0.61741,0.5828,0.588,0.62623,0.61585,0.62366,0.60638,0.61947,0.59146,0.60478,0.5954,0.61674,0.62029,0.58455,0.61645,0.61746,0.61957,0.68574,0.71629,0.60176,0.66014,0.60795,0.58806,0.5613,0.58208,0.14996,0.14186,0.49696,0.58336,0.63183,0.6835,0.63172,0.65024,0.60674,0.58634,0.62501,0.64834,0.64439,0.63166,0.58419,0.58439,0.59478,0.57855,0.5903,0.63981,0.62775,0.62104,0.63482
8,0.60099,0.67984,0.61238,0.59996,0.59621,0.59438,0.59618,0.99861,1.0,0.7041,0.68806,0.72971,0.58963,0.63468,0.63199,0.60404,0.63488,0.6305,0.65074,0.66628,0.59732,0.6767,0.66642,0.64548,0.63424,0.66197,0.68729,0.68508,0.74705,0.7335,0.74272,0.73552,0.5839,0.5902,0.67469,0.69603,0.6375,0.58971,0.58929,0.60666,0.61705,0.62367,0.63218,0.63631,0.63587,0.68149,0.5784,0.59075,0.70021,0.60554,0.68555,0.68751,0.64052,0.59493,0.6604,0.66453,0.71032,0.67072,0.70676,0.58672,0.61229,0.59237,0.58672,0.63635,0.6471,0.73601,0.63035,0.67116,0.70179,0.63214,0.71399,0.72901,0.67064,0.65103,0.59072,0.73432,0.58526,0.6511,0.63093,0.70545,0.65156,0.58188,0.66271,0.66707,0.676,0.58334,0.58334,0.59126,0.64345,0.60005,0.58527,0.64136,0.63637,0.63592,0.62996,0.59327,0.60361,0.62221,0.58375,0.58865,0.62792,0.61629,0.6247,0.60693,0.6203,0.59196,0.60516,0.59826,0.61756,0.62129,0.58538,0.61748,0.61832,0.62109,0.69726,0.72522,0.60253,0.67264,0.60969,0.58841,0.56239,0.58183,0.15027,0.14167,0.49689,0.58474,0.63302,0.68712,0.63261,0.65138,0.61673,0.58746,0.62631,0.64943,0.64517,0.6358,0.58581,0.58612,0.59707,0.57995,0.59221,0.64354,0.63052,0.62256,0.64019
9,0.78889,0.70989,0.84264,0.76618,0.74874,0.63443,0.63878,0.6957,0.7041,1.0,0.97749,0.99119,0.68177,0.84363,0.83087,0.84552,0.9132,0.84439,0.86186,0.77072,0.74115,0.8937,0.70437,0.72131,0.67739,0.93522,0.81797,0.78899,0.82899,0.76896,0.76176,0.70777,0.62166,0.65045,0.64715,0.86249,0.86817,0.71297,0.68957,0.79141,0.81845,0.6502,0.69691,0.66507,0.69108,0.90484,0.64065,0.62295,0.86838,0.81152,0.84496,0.75361,0.81831,0.76787,0.7693,0.92357,0.88797,0.84455,0.79823,0.68887,0.873,0.63601,0.75045,0.8271,0.8209,0.87062,0.8594,0.6856,0.77536,0.91162,0.70541,0.82758,0.8884,0.67407,0.74017,0.7514,0.66092,0.73364,0.7509,0.786,0.85386,0.6562,0.80827,0.7849,0.85544,0.67845,0.66573,0.61091,0.70885,0.82768,0.63352,0.6646,0.71393,0.80051,0.76034,0.76982,0.80669,0.81316,0.62867,0.61235,0.64205,0.61949,0.63269,0.61754,0.62389,0.60667,0.61309,0.79078,0.62965,0.62726,0.61738,0.63708,0.62537,0.65822,0.77462,0.72859,0.61975,0.81555,0.65456,0.60525,0.61253,0.58808,0.50919,0.1358,0.14554,0.64998,0.63806,0.71096,0.63468,0.65038,0.84403,0.61583,0.64674,0.64739,0.64097,0.86478,0.69534,0.70041,0.7921,0.6527,0.6909,0.68953,0.6962,0.65141,0.71407
