,model,icps,recall
116,default_uniref30_22_6,0.0037846153846153854,0.0
117,default_uniref30_22_7,0.003278571428571429,0.0
118,default_uniref30_22_8,0.0046421052631578945,0.0
119,default_uniref30_22_9,0.0033107142857142858,0.0
120,lewis_0,0.009151919866444072,0.0
121,lewis_1,0.0014866756393001346,0.0
122,lewis_2,0.0017173264781491003,0.0
123,lewis_3,0.002254859752120026,0.0
124,lewis_4,0.0006017221584385763,0.0
125,unidist_uniprot_img_0,0.004266666666666667,0.0
126,unidist_uniprot_img_1,0.004046153846153846,0.0
127,unidist_uniprot_img_2,0.0032800000000000004,0.0
128,unidist_uniprot_img_3,0.004165116279069767,0.0
129,unidist_uniprot_img_4,0.004607407407407408,0.0
130,unidist_uniprot_img_5,0.00284,0.0
131,unidist_uniprot_img_6,0.003142857142857143,0.0
132,unidist_uniprot_img_7,0.0050999999999999995,0.0
133,unidist_uniprot_img_8,0.004672549019607844,0.0
134,unidist_uniprot_img_9,0.0050292682926829264,0.0
135,unidist_uniprot_sto_0,0.0037025,0.0
136,unidist_uniprot_sto_1,0.004431818181818182,0.0
137,unidist_uniprot_sto_2,0.0037642857142857152,0.0
138,unidist_uniprot_sto_3,0.0039,0.0
139,unidist_uniprot_sto_4,0.0032333333333333333,0.0
140,unidist_uniprot_sto_5,0.0041938775510204085,0.0
141,unidist_uniprot_sto_6,0.003239393939393939,0.0
142,unidist_uniprot_sto_7,0.005235714285714285,0.0
143,unidist_uniprot_sto_8,0.004047916666666667,0.0
144,unidist_uniprot_sto_9,0.003073809523809524,0.0
